"site","mod","coef","estimate","SE.estimate","CV"
"Munkhkhairkhan","scr","E.N",33.0624315435944,8.75911334948844,0.264926472148279
"Munkhkhairkhan","scr2","E.N",26.5818292174101,10.4894295905438,0.394609020498621
"Munkhkhairkhan","scr","lambda0",0.0106415862098962,0.00239732384455489,0.225278806868612
"Munkhkhairkhan","scr2","lambda0",0.0127702696489438,0.00307879309662671,0.241090688079663
"Munkhkhairkhan","scr","sigma",5491.24079484235,575.786603813548,0.104855464425154
"Munkhkhairkhan","scr2","sigma",5758.48347455232,657.798255093207,0.114231161381312
"Tost","scr","E.N",23.9949033476513,5.12506721691704,0.213589825416767
"Tost","scr2","E.N",22.1474550075625,5.11208874301727,0.230820595019685
"Tost","scr","lambda0",0.0157098894565231,0.00181356663110988,0.115441081627525
"Tost","scr2","lambda0",0.0169725170298048,0.00197730613154051,0.116500465315088
"Tost","scr","sigma",7826.51871009564,431.337382233361,0.0551122917111241
"Tost","scr2","sigma",7684.9490518752,421.479005900638,0.0548447365175171
