X.Session,ID,Occasion,Camera_ID
2,M16 Half moon,1,SLT134_Tost
2,M16 Half moon,1,SLT134_Tost
2,Kurzawa,1,SLT134_Tost
2,M16 Half moon,1,SLT134_Tost
2,F8 Dagina,1,SLT134_Tost
2,F11,1,SLT137_Tost
2,F11,1,SLT137_Tost
2,M15 The Dude,1,SLT138_Tost
2,M14 Djingis,1,SLT138_Tost
2,M15 The Dude,1,SLT138_Tost
2,M15 The Dude,1,SLT138_Tost
2,F5 Anu,1,SLT138_Tost
2,M15 The Dude,1,SLT140_Tost
2,M15 The Dude,1,SLT140_Tost
2,M15 The Dude,1,SLT140_Tost
2,Kurzawa,1,SLT142_Tost
2,M16 Half moon,1,SLT142_Tost
2,M16 Half moon,1,SLT142_Tost
2,Kurzawa,1,SLT142_Tost
2,Kurzawa,1,SLT142_Tost
2,F13- Presnel cub1,1,SLT142_Tost
2,Kurzawa,1,SLT142_Tost
2,M16 Half moon,1,SLT142_Tost
2,Kurzawa,1,SLT142_Tost
2,Presnel,1,SLT142_Tost
2,Kurzawa,1,SLT142_Tost
2,M16 Half moon,1,SLT142_Tost
2,Kurzawa,1,SLT142_Tost
2,F12 Willian,1,SLT144_Tost
2,M15 The Dude,1,SLT144_Tost
2,F11,1,SLT145_Tost
2,F12 Willian,1,SLT145_Tost
2,F11,1,SLT145_Tost
2,M15 The Dude,1,SLT145_Tost
2,M13 Nachin Devekh,1,SLT146_Tost
2,Sym 2019,1,SLT146_Tost
2,M13 Nachin Devekh,1,SLT146_Tost
2,F8 Dagina,1,SLT150_Tost
2,F8 Dagina,1,SLT150_Tost
2,M11 Tsetsen,1,SLT150_Tost
2,M11 Tsetsen,1,SLT150_Tost
2,Dagina cub2 2017,1,SLT154_Tost
2,F8 Dagina,1,SLT154_Tost
2,F8 Dagina,1,SLT154_Tost
2,F8 Dagina,1,SLT154_Tost
2,Kurzawa,1,SLT160_Tost
2,Kurzawa,1,SLT160_Tost
2,M16 Half moon,1,SLT160_Tost
